NOC,Year,Total_Medals,Age,Height,Weight,ID,Prev_Medals
AFG,2008,1,21.0,183.0,63.0,1,0.0
AFG,2012,1,25.0,183.0,63.0,1,1.0
AHO,1988,1,19.0,175.70476,72.63659,1,0.0
ALG,1984,2,23.0,170.78888,64.98333,2,0.0
ALG,1992,2,21.5,161.5,54.5,2,2.0
ALG,1996,3,23.0,173.33333,65.0,3,2.0
ALG,2000,5,24.6,179.4,65.4,5,3.0
ALG,2008,2,24.5,170.5,71.0,2,5.0
ALG,2012,1,24.0,170.0,67.0,1,2.0
ALG,2016,2,28.0,170.0,67.0,2,1.0
ANZ,1908,5,22.6,175.5,68.666664,5,0.0
ANZ,1912,7,24.0,188.0,84.0,7,5.0
ARG,1924,6,24.166666,189.5,90.0,6,0.0
ARG,1928,7,21.285715,176.31372,76.92647,7,6.0
ARG,1932,4,19.5,173.25,55.0,4,7.0
ARG,1936,7,25.142857,176.31372,76.92647,7,4.0
ARG,1948,7,27.142857,171.5,60.5,7,7.0
ARG,1952,5,26.6,175.0,101.0,5,7.0
ARG,1956,2,23.5,180.0,139.0,2,5.0
ARG,1960,2,33.0,171.5,67.5,2,2.0
ARG,1964,1,34.0,170.0,65.0,1,2.0
ARG,1968,2,23.0,174.0,77.5,2,1.0
ARG,1972,1,28.0,184.0,88.0,1,2.0
ARG,1988,2,22.5,185.0,73.5,2,1.0
ARG,1992,1,25.0,183.0,74.0,1,2.0
ARG,1996,3,22.333334,170.0,66.333336,3,1.0
ARG,2000,4,26.25,168.75,64.75,4,3.0
ARG,2004,6,27.0,175.83333,71.5,6,4.0
ARG,2008,6,30.0,171.5,68.666664,6,6.0
ARG,2012,4,26.75,181.75,73.75,4,6.0
ARG,2016,4,29.0,172.75,71.75,4,4.0
ARM,1996,2,22.0,157.5,56.0,2,0.0
ARM,2000,1,24.0,170.0,77.0,1,2.0
ARM,2008,6,24.333334,174.2,78.166664,6,1.0
ARM,2012,3,23.0,175.33333,83.333336,3,6.0
ARM,2016,4,22.75,179.25,102.5,4,3.0
AUS,1896,3,22.0,177.69322,73.33301,3,0.0
AUS,1900,6,22.0,178.0,71.0,6,3.0
AUS,1904,4,22.0,177.69322,73.33301,4,6.0
AUS,1906,3,23.333334,177.69322,73.33301,3,4.0
AUS,1920,3,28.0,174.33333,70.333336,3,3.0
AUS,1924,6,24.666666,175.83333,68.0,6,3.0
AUS,1928,4,20.75,184.66667,92.0,4,6.0
AUS,1932,5,22.0,176.0,95.5,5,4.0
AUS,1936,1,24.0,183.0,80.0,1,5.0
AUS,1948,13,24.307692,170.66667,57.0,13,1.0
AUS,1952,11,23.727272,172.0,62.7,11,13.0
AUS,1956,35,21.705883,176.33333,67.63158,35,11.0
AUS,1960,22,23.09091,176.45454,70.666664,22,35.0
AUS,1964,18,24.38889,174.16667,69.94444,18,22.0
AUS,1968,17,20.941177,176.17647,68.94118,17,18.0
AUS,1972,17,19.764706,171.94118,66.29412,17,17.0
AUS,1976,5,24.2,180.25,72.75,5,17.0
AUS,1980,9,20.222221,180.44444,76.0,9,5.0
AUS,1984,24,23.833334,181.79167,79.5,24,9.0
AUS,1988,14,22.857143,176.71428,70.07143,14,24.0
AUS,1992,27,23.481482,178.18518,74.03704,27,14.0
AUS,1996,41,24.219513,179.02438,76.70731,41,27.0
AUS,2000,58,25.689655,180.27586,75.77586,58,41.0
AUS,2004,50,25.02,178.9,75.24,50,58.0
AUS,2008,46,24.413044,180.13043,73.58696,46,50.0
AUS,2012,35,24.8,179.31429,73.65714,35,46.0
AUS,2016,29,25.103449,180.03448,72.655174,29,35.0
AUT,1896,5,21.6,176.384,74.5589,5,0.0
AUT,1900,6,21.5,176.5,74.5589,6,5.0
AUT,1904,4,27.0,168.75,74.5589,4,6.0
AUT,1906,9,24.222221,177.0,114.0,9,4.0
AUT,1908,1,18.0,176.384,74.5589,1,9.0
AUT,1912,4,24.75,176.384,74.5589,4,1.0
AUT,1924,4,27.0,176.384,78.5,4,4.0
AUT,1928,4,26.75,170.0,59.0,4,4.0
AUT,1932,5,23.8,176.4,74.5589,5,4.0
AUT,1936,17,27.058823,173.0,67.0,17,5.0
AUT,1948,8,39.875,170.0,71.5,8,17.0
AUT,1952,2,24.5,173.0,74.5589,2,8.0
AUT,1956,2,28.5,176.5,80.0,2,2.0
AUT,1960,2,32.0,176.0,79.0,2,2.0
AUT,1968,4,26.25,180.5,74.75,4,2.0
